Hours,Grades
0.5,8
0.6,9
0.7,10
0.8,11
0.9,12
1.0,14
1.1,15
1.2,16
1.3,17
1.4,18
1.5,20
1.6,19
1.7,21
1.8,22
1.9,23
2.0,24
2.1,25
2.2,27
2.3,26
2.4,28
2.5,29
2.6,30
2.7,31
2.8,32
2.9,33
3.0,34
3.1,35
3.2,36
3.3,37
3.4,38
3.5,39
3.6,40
3.7,41
3.8,42
3.9,43
4.0,44
4.1,45
4.2,46
4.3,47
4.4,48
4.5,49
4.6,50
4.7,51
4.8,52
4.9,53
5.0,54
5.1,55
5.2,56
5.3,57
5.4,58
5.5,59
5.6,60
5.7,61
5.8,62
5.9,63
6.0,64
6.1,65
6.2,66
6.3,67
6.4,68
6.5,69
6.6,70
6.7,71
6.8,72
6.9,73
7.0,74
7.1,75
7.2,76
7.3,77
7.4,78
7.5,79
7.6,80
7.7,81
7.8,82
7.9,83
8.0,84
8.1,85
8.2,86
8.3,87
8.4,88
8.5,89
8.6,90
8.7,91
8.8,92
8.9,93
9.0,94
9.1,95
9.2,96
9.3,97
9.4,98
9.5,99
9.6,100
9.7,100
9.8,100
9.9,100
10.0,100
0.5,6
0.8,10
1.0,13
1.2,17
1.4,19
1.6,21
1.8,22
2.0,23
2.2,25
2.4,27
2.6,29
2.8,31
3.0,33
3.2,34
3.4,36
3.6,39
3.8,41
4.0,43
4.2,45
4.4,47
4.6,49
4.8,52
5.0,54
5.2,56
5.4,58
5.6,60
5.8,61
6.0,63
6.2,65
6.4,67
6.6,69
6.8,72
7.0,73
7.2,75
7.4,77
7.6,79
7.8,81
8.0,83
8.2,85
8.4,87
8.6,89
8.8,91
9.0,93
9.2,95
9.4,97
9.6,99
9.8,100
10.0,100
1.1,16
1.5,18
1.9,24
2.3,27
2.7,30
3.1,34
3.5,38
3.9,42
4.3,46
4.7,49
5.1,53
5.5,58
5.9,62
6.3,66
6.7,70
7.1,74
7.5,78
7.9,82
8.3,86
8.7,90
9.1,94
9.5,98
9.9,100
0.7,9
1.3,16
1.9,21
2.5,28
3.1,35
3.7,40
4.3,45
4.9,52
5.5,57
6.1,64
6.7,69
7.3,76
7.9,82
8.5,88
9.1,94
9.7,99
0.9,12
1.8,21
2.7,31
3.6,39
4.5,48
5.4,58
6.3,67
7.2,76
8.1,85
9.0,95
10.0,100
0.6,8
1.7,20
2.8,32
3.9,42
5.0,55
6.1,64
7.2,75
8.3,86
9.4,97
10.0,100
